2110,KUPCI U ZEMLJI
0201,GRAĐEVINSKA ZEMLJIŠTA
0210,UPRAVNE ZGRADE
49901,OSTALA KRATKOROČNA RAZGRANIČENJA
20502,BLAGAJNA HERNAD
5242,TROŠKOVI OSTALIH PRIMANJA NAKNADA I MATERIJALNIH PRAVA
539,TROŠKOVI OSTALIH USLUGA
4423,OBAVEZE PO OSNOVU KOMISIONE I KONSIGNACIONE PRODAJE
7100,PRENOS DOBITI
7000,TROŠKOVI
7101,PRENOS GUBITKA
61650,PRIHODI U VISINI REAL.DOBITAKA OD PRODANIH DIONICA
6801,RASHODI PRI OTUĐENJU (PRODAJI) OS/SII
138001,POREZ NA PROMET PROIZVODA T1
409,OSTALA DUGOROČNA REZERVISANJA I RAZGRANIČENJA
6010,PRIHOD OD PRODATE ROBE
6022,VRIJEDNOST -PRODATE ROBE IZ PRODAVNICA
2329,POTRAŽIVANJA OD ZAPOSLENIKA
4090,OSTALA DUGOROČNA RAZGRANIČENJA
13801,POREZ NA PROMET USLUGA U MP
138002,POREZ NA PROMET PROIZVODA T2
6521,NABAVNA VRIJEDNOST PRODATE ROBE U TRANZITU
2081,SREDSTVA NA POSEBNOM RAČUNU KOD ZPP
0271,DATI AVANS ZA GRAĐEVINE
0291,ISPRAVKA VRIJEDNOSTI TRANSPORTNA SREDSTVA
68852,PLACENI POREZ NA RAZLIKU U CIJENI
1361,ROBA U OBRADI I DORADI
1363,ROBA U OBRADI I DORADI
65202,NABAVNA VRIJ.PRODATE ROBE SA SKLADISTA-SPORT
49908,OSTALA KRATKOROČNA RAZGRANIČENJA
49906,OSTALA KRATKOROČNA RAZGRANIČENJA
3108,UPISANE NEUPLAĆENE DIONICE
31004,UPISANE NEUPLAĆENE DIONICE
31002,UPISANE NEUPLAĆENE DIONICE
31003,UPISANE NEUPLAĆENE DIONICE
31001,UPISANE NEUPLAĆENE DIONICE
0160,NEMATERIJALNA SREDSTVA VAN UPOTREBE
3500,GUBITAK RANIJIH GODINA
02280,REVALORIZACIJA TRANSPORTNIH SREDSTAVA
